gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1986650861	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:NF040	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE	Kimbiri	Cuzco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-12.58877	-73.700077							2016-01-01T00:00:00			2016	2433401	2433401	OCCURRENCE							CC_BY_NC_4_0		Pedro Huanca, Angela Arapa			2022-01-30T11:40:19.348Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
1986650689	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:NF041	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE	Kimbiri	Cuzco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-12.587613	-73.712269							2018-01-01T00:00:00			2018	2433401	2433401	OCCURRENCE							CC_BY_NC_4_0		Pedro Huanca, Angela Arapa			2022-01-30T11:40:19.359Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
1932935950	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:NF036	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE	Chipaco	Huanuco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-9.302172	-76.501529							2018-03-01T00:00:00		3	2018	2433401	2433401	OCCURRENCE							CC_BY_NC_4_0		Nereyda Falconi, Oscar Quispe, Sebastian Algarate			2022-01-30T11:40:19.413Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
1932935949	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC035	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Kos_…¨±ipata	Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.2	-71.616667											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.398Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935948	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC017	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Huicungo	San Martin	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.655	-77.268333											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.400Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935947	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:NF028	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE	llaylla	Junin	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-11.465016	-74.674762							2017-11-09T00:00:00	9	11	2017	2433401	2433401	OCCURRENCE							CC_BY_NC_4_0		Yuly Huayta, Sofia Valdivia			2022-01-30T11:40:19.399Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
1932935946	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC026	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Huayopata	Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.075333	-72.538333											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.406Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935945	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC027	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Kos_…¨±ipata	Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.0845	-71.555333											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.405Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935944	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TOPE:PNRA003	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Parque NacionalRío Abiseo	San Martin	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.684435	-77.491138											2433401	2433401	OCCURRENCE		Rio Abiseo National Park-SERNANP					CC_BY_NC_4_0		ranger			2022-01-30T11:40:19.408Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
1932935943	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC025	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Rio tambo	Junin	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-11.556	-73.667											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.407Z		GEODETIC_DATUM_ASSUMED_WGS84
